Name,Make,Model,Build_Date,Odometer,Body_type,Fuel,Transmission,Seats,Provider,Location,Vin,Price,Link
2006 LEXUS RX350 4D WAGON SPORTS LUXURY GSU35R,LEXUS,RX350,2006,"194,000",4D WAGON,Petrol - Unleaded ULP,5 SP SEQUENTIAL AUTO,5,Bayside Brothers Motors,VIC,JTJHK31UX02015705,"8,990",https://www.baysidebrothersmotors.com.au/stock/2006-lexus-rx350-4dwagon-sportsluxury-gsu35r-475638
2014 BMW 3 4D SEDAN 16i F30 MY14,BMW,3,2014,"97,112",4D SEDAN,Petrol - Premium ULP,8 SP AUTOMATIC,5,Bayside Brothers Motors,VIC,WBA3A16010NT49353,"21,990",https://www.baysidebrothersmotors.com.au/stock/2014-bmw-3-4dsedan-16i-f30my14-474026
2021 BMW X6 4D COUPE xDRIVE30d M SPORT G06,BMW,X6,2021,"74,616",4D COUPE,Diesel,8 SP AUTO STEPTRONIC SPRT,5,Bayside Brothers Motors,VIC,WBAGT220409J77545,"99,990",https://www.baysidebrothersmotors.com.au/stock/2024-mazda-cx_5-4dwagon-g35gtspturbo(awd)-cx5n-475941
2015 FORD RANGER SUPER CAB CHASSIS XL 2.2 HI-RIDER (4x2) PX MKII,FORD,RANGER,2015,"169,200",SUPER CAB CHASSIS,Diesel,6 SP AUTOMATIC,4,Bayside Brothers Motors,VIC,MNAUM1F80FW494677,"17,990",https://www.baysidebrothersmotors.com.au/stock/2017-lexus-gs350-4dsedan-fsport-grl12rmy17-473652
2020 TOYOTA COROLLA 5D WAGON TOURING (HYBRID) ZWE211W,TOYOTA,COROLLA,2020,"102,111",5D WAGON,Petrol,CONTINUOUS VARIABLE,0,Bayside Brothers Motors,VIC,6ZZLZWE2116043302,"29,990",https://www.baysidebrothersmotors.com.au/stock/2013-toyota-landcruiser-4dwagon-pradovx(4x4)-grj150r11upgrade-471497
2014 TOYOTA NOAH MVP WELCAB ZRR80,TOYOTA,NOAH,2014,"99,100",MVP,,AUTOMATICS,0,Bayside Brothers Motors,VIC,6U900ZRR800071558,"29,990",https://www.baysidebrothersmotors.com.au/stock/2009-toyota-aurion-4dsedan-at_x-gsv40r-471995
2018 TOYOTA C-HR 4D WAGON KOBA (2WD) NGX10R UPDATE,TOYOTA,C-HR,2018,"69,665",4D WAGON,Petrol - Premium ULP,CONTINUOUS VARIABLE,5,Bayside Brothers Motors,VIC,JTNKY3BX101012810,"29,990",https://www.baysidebrothersmotors.com.au/stock/2015-mercedes_benz-ml-4dwagon-250cdibluetec(4x4)-166my15-471496
2023 TOYOTA GR COROLLA 5D HATCHBACK GTS GZEA14R,TOYOTA,GR,2023,"1,900",5D HATCHBACK,Petrol - Premium ULP,6 SP MANUAL,5,Bayside Brothers Motors,VIC,JTNAB5AE30A004510,"59,990",https://www.baysidebrothersmotors.com.au/stock/2019-mercedes_benz-cla-4dcoupe-200-c118my20-471290
2018 RENAULT MEGANE 4D WAGON GT XFB-KFB,RENAULT,MEGANE,2018,"128,500",4D WAGON,Petrol - Premium ULP,7 SP AUTO DUAL CLUTCH,0,Bayside Brothers Motors,VIC,VF1RFB006G0741165,"17,990",https://www.baysidebrothersmotors.com.au/stock/2001-toyota-altezza-hatch--altezzagita-471243
2018 HONDA HR-V 4D WAGON VTi-S MY17,HONDA,HR-V,2018,"72,100",4D WAGON,Petrol - Unleaded ULP,CONTINUOUS VARIABLE,5,Bayside Brothers Motors,VIC,MRHRU5850HP062899,"21,990","https://www.baysidebrothersmotors.com.au/stock/2014-toyota-vellfire--3,5lv6-goldeneyeedition-471289"
2015 VOLKSWAGEN PASSAT 4D WAGON 132 TSI COMFORTLINE 3C MY16,VOLKSWAGEN,PASSAT,2015,"120,000",4D WAGON,Petrol - Premium ULP,7 SP AUTO DIRECT SHIFT,5,Bayside Brothers Motors,VIC,WVWZZZ3CZGE032021,"15,990",https://www.baysidebrothersmotors.com.au/stock/2021-bmw-x6-4dcoupe-xdrive30dmsport-g06-465497
2015 TOYOTA RAV4 4D WAGON GX (2WD) ZSA42R MY14 UPGRADE,TOYOTA,RAV4,2015,"24,200",4D WAGON,Petrol - Unleaded ULP,CONTINUOUS VARIABLE,5,Bayside Brothers Motors,VIC,JTMZDREV40D067861,"26,990","https://www.baysidebrothersmotors.com.au/stock/2015-ford-ranger-supercabchassis-xl2,2hi_rider(4x2)-pxmkii-463069"
2024 MAZDA CX-5 4D WAGON G35 GT SP TURBO (AWD) CX5N,MAZDA,CX-5,2024,"8,848",4D WAGON,Petrol - Unleaded ULP,6 SP AUTOMATIC,5,Bayside Brothers Motors,VIC,JM0KF4WLA10102659,"48,990",https://www.baysidebrothersmotors.com.au/stock/2020-toyota-corolla-5dwagon-touring(hybrid)-zwe211w-462591
2022 BMW 3 4D SEDAN 30e M SPORT PHEV G20,BMW,3,2022,"78,000",4D SEDAN,Premium ULP/Electric,8 SP AUTO STEPTRONIC SPRT,5,Bayside Brothers Motors,VIC,WBA5P52040FM51714,"69,990",https://www.baysidebrothersmotors.com.au/stock/2014-toyota-noah-mvp-welcabzrr80--462589
2016 MERCEDES-BENZ E350 4D SEDAN d 213,MERCEDES-BENZ,E350,2016,"96,000",4D SEDAN,Diesel,9 SP AUTOMATIC G-TRONIC,5,Bayside Brothers Motors,VIC,WDD2130332A058204,"42,990",https://www.baysidebrothersmotors.com.au/stock/2018-toyota-c_hr-4dwagon-koba(2wd)-ngx10rupdate-459952
2013 MINI COOPER 4D WAGON JCW ALL4 COUNTRYMAN R60 MY13,MINI,COOPER,2013,"96,770",4D WAGON,Petrol - Premium ULP,6 SP AUTOMATIC,4,Bayside Brothers Motors,VIC,WMWXD12000WN20053,"24,990",https://www.baysidebrothersmotors.com.au/stock/2023-toyota-grcorolla-5dhatchback-gts-gzea14r-459278
2015 HONDA ODYSSEY 4D WAGON VTi RC,HONDA,ODYSSEY,2015,"173,068",4D WAGON,Petrol - Unleaded ULP,CONTINUOUS VARIABLE,8,Bayside Brothers Motors,VIC,JHMRC1830FC204778,"18,990",https://www.baysidebrothersmotors.com.au/stock/2018-renault-megane-4dwagon-gt-xfb_kfb-456731
2015 BMW X5 4D WAGON xDRIVE 40d F15 MY15,BMW,X5,2015,"99,865",4D WAGON,Diesel,8 SP AUTOMATIC,5,Bayside Brothers Motors,VIC,WBAKS620700P86086,"44,990",https://www.baysidebrothersmotors.com.au/stock/2018-honda-hr_v-4dwagon-vti_s-my17-458045
2019 MERCEDES-BENZ B180 5D HATCHBACK W247 MY20,MERCEDES-BENZ,B180,2019,"56,550",5D HATCHBACK,Petrol - Premium ULP,7 SP AUTO DUAL CLUTCH,5,Bayside Brothers Motors,VIC,WDD2470842J040786,"33,990",https://www.baysidebrothersmotors.com.au/stock/2015-volkswagen-passat-4dwagon-132tsicomfortline-3cmy16-455378
2012 MERCEDES-BENZ C250 2D COUPE BE W204 MY11,MERCEDES-BENZ,C250,2012,"169,364",2D COUPE,Petrol - Premium ULP,7 SP AUTOMATIC G-TRONIC,4,Bayside Brothers Motors,VIC,WDD2043472F969917,"18,990",https://www.baysidebrothersmotors.com.au/stock/2015-toyota-rav4-4dwagon-gx(2wd)-zsa42rmy14upgrade-451289
2007 KIA GRAND CARNIVAL 4D WAGON (EX) VQ,KIA,GRAND,2007,"214,000",4D WAGON,Petrol - Unleaded ULP,5 SP AUTOMATIC,8,Bayside Brothers Motors,VIC,KNAMB763386199764,"3,990",https://www.baysidebrothersmotors.com.au/stock/2022-bmw-3-4dsedan-30emsportphev-g20-444668
2012 PORSCHE CAYENNE 4D WAGON S SERIES 2 MY12,PORSCHE,CAYENNE,2012,"121,620",4D WAGON,Petrol - Premium ULP,8 SP AUTOMATIC TIPTRONIC,5,Bayside Brothers Motors,VIC,WP1ZZZ92ZCLA49895,"48,990",https://www.baysidebrothersmotors.com.au/stock/2016-mercedes_benz-e350-4dsedan-d-213-444104
2011 PORSCHE CAYENNE 4D WAGON S SERIES 2,PORSCHE,CAYENNE,2011,"98,600",4D WAGON,Petrol - Premium ULP,8 SP AUTOMATIC TIPTRONIC,5,Bayside Brothers Motors,VIC,WP1ZZZ92ZBLA54938,"49,990",https://www.baysidebrothersmotors.com.au/stock/2013-mini-cooper-4dwagon-jcwall4countryman-r60my13-435071
2017 LEXUS GS350 4D SEDAN F SPORT GRL12R MY17,LEXUS,GS350,2017,"89,998",4D SEDAN,Petrol - Premium ULP,8 SP AUTOMATIC,5,Bayside Brothers Motors,VIC,JTHBZ1BL30A010865,"48,990",https://www.baysidebrothersmotors.com.au/stock/2015-honda-odyssey-4dwagon-vti-rc-427920
2013 TOYOTA LANDCRUISER 4D WAGON PRADO VX (4x4) GRJ150R 11 UPGRADE,TOYOTA,LANDCRUISER,2013,"254,000",4D WAGON,Petrol - Unleaded ULP,5 SP SEQUENTIAL AUTO,7,Bayside Brothers Motors,VIC,JTEBH3FJ70K092890,"32,990",https://www.baysidebrothersmotors.com.au/stock/2015-bmw-x5-4dwagon-xdrive40d-f15my15-422215
2009 TOYOTA AURION 4D SEDAN AT-X GSV40R,TOYOTA,AURION,2009,"131,000",4D SEDAN,Petrol - Unleaded ULP,6 SP AUTO SEQUENTIAL,5,Bayside Brothers Motors,VIC,6T153KK400X332636,"11,990",https://www.baysidebrothersmotors.com.au/stock/2019-mercedes_benz-b180-5dhatchback--w247my20-423186
2015 MERCEDES-BENZ ML 4D WAGON 250CDI BLUETEC (4x4) 166 MY15,MERCEDES-BENZ,ML,2015,"109,400",4D WAGON,Diesel,7 SP AUTOMATIC,5,Bayside Brothers Motors,VIC,WDC1660042A543864,"26,990",https://www.baysidebrothersmotors.com.au/stock/2012-mercedes_benz-c250-2dcoupe-be-w204my11-419767
2019 MERCEDES-BENZ CLA 4D COUPE 200 C118 MY20,MERCEDES-BENZ,CLA,2019,"77,000",4D COUPE,Petrol - Premium ULP,7 SP AUTO DUAL CLUTCH,5,Bayside Brothers Motors,VIC,WDD1183872N014453,"43,990",https://www.baysidebrothersmotors.com.au/stock/2007-kia-grandcarnival-4dwagon-(ex)-vq-416320
2001 TOYOTA ALTEZZA HATCH ALTEZZA GITA,TOYOTA,ALTEZZA,2001,"99,800",HATCH,,7sp Automatics,0,Bayside Brothers Motors,VIC,6ZZ00JCE100039793,"24,990",https://www.baysidebrothersmotors.com.au/stock/2012-porsche-cayenne-4dwagon-s-series2my12-413092
2014 TOYOTA VELLFIRE 3.5L V6 GOLDEN EYE EDITION,TOYOTA,VELLFIRE,2014,"88,000",,,AUTO,0,Bayside Brothers Motors,VIC,6ZZC0GGH208069464,"34,990",https://www.baysidebrothersmotors.com.au/stock/2011-porsche-cayenne-4dwagon-s-series2-378783
